Ano,Área plantada ou destinada à colheita (Hectares),Área plantada ou destinada à colheita - percentual do total geral,Área colhida (Hectares),Área colhida - percentual do total geral,Quantidade produzida (Toneladas),Rendimento médio da produção (Quilogramas por Hectare),Valor da produção (Mil Reais),Valor da produção - percentual do total geral
1994,51584,"90,55",51583,"90,55",27841,539,25892,"68,49"
1995,59968,"91,08",59968,"91,29",23388,390,23388,"61,58"
1996,42320,"87,11",42320,"87,11",16928,400,16928,"48,68"
1997,60000,"89,63",60000,"89,63",24000,400,28800,"59,21"
1998,60109,"89,76",60109,"90,27",27049,449,48688,"70,09"
1999,60952,"96,68",60952,"96,68",15318,251,27879,"91,8"
2000,70700,"96,07",70154,"96,48",10137,144,20274,"81,06"
2001,58798,"95,68",58798,"95,94",7386,125,15141,"74,06"
2002,58798,"94,4",12000,"80,05",1800,150,7560,"36,88"
2003,12000,"80,73",12000,"80,82",1920,160,9024,"39,65"
2004,58758,"94,14",53790,"94,66",8069,150,41152,"75,79"
2005,56456,"94,36",49746,"93,98",8987,180,31904,"74,63"
2006,55569,"94,19",49237,"93,87",9152,185,32490,"73,83"
2007,56391,"93,82",50430,"93,43",10033,198,35617,"75,55"
2008,56911,"93,23",51354,"93,05",9881,192,36560,"66,03"
2009,54214,"93,6",49145,"92,99",9698,197,45581,"76,83"
2010,48000,"92,64",48000,"92,64",11520,240,59904,"79,71"
2011,48000,"91,99",48000,"91,99",11520,240,62208,"78,3"
2012,47100,"90,57",47100,"90,58",13188,280,74085,"75,67"
2013,52206,"90,71",52206,"90,71",11485,220,64686,"69,82"
2014,47000,"88,97",47000,"89,05",13019,277,77463,"68,44"
2015,47000,"88,94",47000,"88,94",13160,280,128968,"83,33"
2016,52738,"91,07",52738,"91,07",8430,160,84300,"69,29"
2017,39641,"85,51",39641,"85,51",8350,211,60037,"61,36"
2018,37540,"87,12",37540,"87,12",9150,244,82350,"76,09"
2019,35100,"86,35",35100,"86,35",7800,222,78000,"73,94"
2020,34800,"86,25",34800,"86,25",7540,217,90480,"78,16"
2021,37540,"87,25",37540,"87,25",8671,231,111336,"75,76"
2022,37915,"86,93",37915,"86,93",8531,225,119400,"75,02"
2023,38294,"86,96",38294,"86,96",8961,234,163045,"80,1"
